"App DisplayName","App ID","Total SignIn Events"
"AADSaml","9b749cc9-004a-419b-a532-31da51bff999","105"
"AAD Delegation Auth CX","4c1a2751-600c-4c94-8bf9-a69c52a92eb5","0"
"Client-CX","77c42383-f1c3-4591-819f-b7db9d646ced","59"
"Lab App 02 MSGraph Access","e248791a-921e-4d1a-a04a-a37b549e8588","12"
"AnAuthLab-AuthCodeFlow","53beb5ba-7615-48d1-bfc4-ab25744a0916","18"
"AnAuthLab-ClientCredentialFlow","2bfddaf4-0673-49a7-a615-2b6bb3acbf31","0"
"LetsEncrypt","feac4650-0a6b-4f1f-839f-34fde5fbb665","0"
"Azure AD B2C App","3091fd34-8cf9-4081-afce-d68594540231","0"
"AppProxy","4f02457b-5221-4752-9dd6-7fbde4d67c98","35"
"AnAuthLab-ImplicitGrantFlow","b4c1990a-717a-4cf4-b545-debb74caeeff","0"
"AppAudit","bb98a186-d35a-4a71-99b8-544bd852c08d","0"
"AnAuthLab-DeviceCodeFlow","7a93fcff-5b7c-4a30-96d9-da538dafff11","9"
"LabLetsEncrypt","eb6c5332-a0d0-4b57-bc82-94a0a7bc641e","0"
"OAuth 2.0 Auth Code Grant - Demo","e2a55bd5-ae5c-41c0-8243-de710e5bf8a2","27"
"OIDCTest","b749281f-ca24-423f-bf26-6c17a2d211e3","58"
"alloceus2s01ipoolappsvc01-appreg","0fb0f657-c6bb-4460-b025-c74bbc5f95f9","0"
"P2P Server","f7566f13-4b99-4312-b269-845fefe4d8b4","0"
"drg","7b2b1e95-25f9-46b7-b448-63c16a032fff","0"
"OAuth-OBO-B","734b6b6b-97cd-45af-b6bf-37099b5135bd","0"
"WebAPI-CX","e05c5c8b-a6d7-44d8-9d95-2f38af819347","10"
