"App DisplayName","App ID","Total SignIn Events"
"One Outlook","5d661950-3475-41cd-a2c3-d671a3162bc1","0"
"AppAudit","bb98a186-d35a-4a71-99b8-544bd852c08d","0"
"Azure SQL Database Backup To Azure Backup Vault","e4ab13ed-33cb-41b4-9140-6e264582cf85","0"
"Targeted Messaging Service","4c4f550b-42b2-4a16-93f9-fdb9e01bb6ed","0"
"PowerAI","8b62382d-110e-4db8-83a6-c7e8ee84296a","0"
"Power Platform Governance Services","342f61e2-a864-4c50-87de-86abc6790d49","0"
"GatewayRP","486c78bf-a0f7-45f1-92fd-37215929e116","0"
"Common Data Service License Management","1c2909a7-6432-4263-a70d-929a3c1f9ee5","0"
"Microsoft People Cards Service","394866fc-eedb-4f01-8536-3ff84b16be2a","0"
"Microsoft Mobile Application Management Backend","354b5b6d-abd6-4736-9f51-1be80049b91f","0"
"Microsoft SharePoint Online - SharePoint Home","dcad865d-9257-4521-ad4d-bae3e137b345","0"
"Microsoft Intune Enrollment","d4ebce55-015a-49b5-a083-c84d1797ae8c","0"
"Microsoft Information Protection API","40775b29-2688-46b6-a3b5-b256bd04df9f","0"
"Export to data lake","7f15f9d9-cad0-44f1-bbba-d36650e07765","0"
"Microsoft Intune Service Discovery","9cb77803-d937-493e-9a3b-4b49de3f5a74","0"
"Dynamics 365 Resource Scheduling Optimization","2f6713e6-1e21-4a83-91b4-5bf9a2378f81","0"
"Yammer","00000005-0000-0ff1-ce00-000000000000","0"
"Dynamics Lifecycle services","913c6de4-2a4a-4a61-a9ce-945d2b2ce2e0","0"
"IAMTenantCrawler","66244124-575c-4284-92bc-fdd00e669cea","0"
"WebAPI-CX","e05c5c8b-a6d7-44d8-9d95-2f38af819347","10"
"test1","ff797815-f66a-4c7e-9b51-b6601c7e9301","0"
"SPAuthEvent","3340b944-b12e-47d0-b46b-35f08ec1d8ee","0"
"Office 365 Search Service","66a88757-258c-4c72-893c-3e8bed4d6899","0"
"Microsoft Device Directory Service","8f41dc7c-542c-4bdd-8eb3-e60543f607ca","0"
"NetworkTrafficAnalyticsService","1e3e4475-288f-4018-a376-df66fd7fac5f","0"
"Microsoft App Access Panel","0000000c-0000-0000-c000-000000000000","5661"
"Microsoft Office Licensing Service vNext","db55028d-e5ba-420f-816a-d18c861aefdf","0"
"Microsoft Teams Shifts","aa580612-c342-4ace-9055-8edee43ccb89","0"
"Discovery Service","d29a4c00-4966-492a-84dd-47e779578fb7","0"
"Microsoft Rights Management Services","00000012-0000-0000-c000-000000000000","0"
"Azure Bastion","79d7fb34-4bef-4417-8184-ff713af7a679","0"
"RPA - Machine Management Relay Service - Application","db040338-7cb4-44df-a22b-785bde7ce0e2","0"
"Client-CX","77c42383-f1c3-4591-819f-b7db9d646ced","59"
"Microsoft.Azure.DataMarket","00000008-0000-0000-c000-000000000000","0"
"Geneva Alert RP","6bccf540-eb86-4037-af03-7fa058c2db75","0"
"O365 Demeter","982bda36-4632-4165-a46a-9863b1bbcf7d","0"
"Microsoft.SMIT","8fca0a66-c008-4564-a876-ab3ae0fd5cff","0"
"Microsoft Policy Insights Provider Data Plane","8cae6e77-e04e-42ce-b5cb-50d82bce26b1","0"
"AADPremiumService","bf4fa6bf-d24c-4d1c-8cfd-12063dd646b2","0"
"Jarvis Transaction Service","bf9fc203-c1ff-4fd4-878b-323642e462ec","0"
"Teams Calling Meeting Devices Services","00edd498-7c0c-4e68-859c-5a55d518c9c0","0"
"Kaizala Sync Service","d82073ec-4d7c-4851-9c5d-5d97a911d71d","0"
"Office365 Zoom","0d38933a-0bbd-41ca-9ebd-28c4b5ba7cb7","0"
"OfficeGraph","ba23cd2a-306c-48f2-9d62-d3ecd372dfe4","0"
"Cortana at Work Bing Services","22d7579f-06c2-4baa-89d2-e844486adb9d","0"
"Service Encryption","dbc36ae1-c097-4df9-8d94-343c3d091a76","0"
"Azure SQL Virtual Network to Network Resource Provider","76cd24bf-a9fc-4344-b1dc-908275de6d6d","0"
"Microsoft Fluid Framework Preview","660d4be7-2665-497f-9611-a42c2668dbce","0"
"Microsoft Azure Signup Portal","8e0e8db5-b713-4e91-98e6-470fed0aa4c2","0"
"Permission Service O365","6d32b7f8-782e-43e0-ac47-aaad9f4eb839","0"
"Cortana at Work Service","2a486b53-dbd2-49c0-a2bc-278bdfc30833","0"
"Azure Windows VM Sign-In","372140e0-b3b7-4226-8ef9-d57986796201","0"
"Skype Teams Calling API Service","26a18ebc-cdf7-4a6a-91cb-beb352805e81","0"
"Microsoft Teams Settings Store","cf6c77f8-914f-4078-baef-e39a5181158b","0"
"Azure AD B2C App","3091fd34-8cf9-4081-afce-d68594540231","0"
"AnAuthLab-AuthCodeFlow","53beb5ba-7615-48d1-bfc4-ab25744a0916","18"
"OneProfile Service","b2cc270f-563e-4d8a-af47-f00963a71dcd","0"
"Microsoft Stream Service","2634dd23-5e5a-431c-81ca-11710d9079f4","0"
"Connectors","48af08dc-f6d2-435f-b2a7-069abd99c086","0"
"Microsoft Intune IW Service","b8066b99-6e67-41be-abfa-75db1a2c8809","0"
